AMOUNT__C,BROKER_STATUS__C,BROKER_TIER__C,CLIENT_RISK_RATING__C,CREDIT_SCORE_BORROWER_2__C,CREDIT_SCORE__C,CURRENT_TERM_IN_MONTHS__C,EMPLOYMENT_STATUS_BORROWER_2__C,EMPLOYMENT_STATUS__C,GLOBAL_DEBT_SERVICING_RATIO__C,LOAN_ID__C,INTEREST_RATE__C,LOAN_TO_VALUE__C,MORTGAGE_POSITION__C,MORTGAGE_PURPOSE__C,OCCUPANCY_TYPE__C,PROPERTY_TYPE__C,SELF_EMPLOYED__C,STAGE__C,TOTAL_DEBT_SERVICING_RATIO__C
428022,Approved,Key Account,4,858,463,31,Pension,Salary,56.2,a006g000002FCVVAA4,7.1,55,2,Equity Takeout,Rent To Own,Row,FALSE,Declined,98.3
765490,Approved,Key Account,4,601,493,23,Other,Pension,9.6,a006g000002FCVWAA4,6.79,41,3,Equity Takeout,Rental,Semi-detached,FALSE,Declined,88.5
485838,Deactivated,Key Account,3,732,474,32,Self-employed,Self-employed,72.2,a006g000002FCVXAA4,8.35,67,1,Refinance for Debt Consolidation,Owner,Apartment High Rise,TRUE,Approved,82.2
939589,Approved,Non Key Account,4,715,777,42,Salary,Contract,25.9,a006g000002FCVYAA4,8.28,26,1,Purchase,Rental,Row,FALSE,Declined,47.9
965183,Approved,Non Key Account,3,829,880,24,Self-employed,Self-employed,47.7,a006g000002FCVZAA4,6.07,45,1,Refinance for Debt Consolidation,Rental,Row,TRUE,Declined,66.6
938930,Watch List,Key Account,3,696,416,4,Commissions,Contract,44.7,a006g000002FCVaAAO,9.36,62,1,Refinance for Debt Consolidation,Owner,Apartment Low Rise,FALSE,Approved,54.9
1444131,Approved,Key Account,3,504,460,26,Pension,Pension,83.4,a006g000002FCVbAAO,9.39,41,2,Purchase,Rent To Own,Row,FALSE,Declined,89.7
724493,Approved,Key Account,4,832,809,25,Pension,Commissions,7.2,a006g000002FCVcAAO,8.77,27,3,Refinance,Rental,Single,FALSE,Declined,14.5
309199,Deactivated,Non Key Account,2,405,865,14,Self-employed,Other,30.4,a006g000002FCVdAAO,8.02,46,1,Refinance for Debt Consolidation,Rent To Own,Row,FALSE,Approved,36.9
440333,Approved,Key Account,4,516,662,51,Contract,Self-employed,39.8,a006g000002FCVeAAO,7.67,8,3,Refinance for Debt Consolidation,Owner,Apartment High Rise,TRUE,Declined,94.6
786587,Approved,Key Account,3,833,505,17,Pension,Self-employed,69.1,a006g000002FCVfAAO,9.15,42,2,Purchase,Owner,Apartment Low Rise,TRUE,Declined,84.7
568348,Approved,Key Account,4,587,562,15,Commissions,Other,17.8,a006g000002FCVgAAO,7.97,41,1,Refinance,Rent To Own,Row,FALSE,Declined,38
1161856,Deactivated,Non Key Account,2,515,889,20,Hourly,Commissions,46.1,a006g000002FCVhAAO,6.37,41,2,Purchase Rent to Own,Owner,Semi-detached,FALSE,Declined,66.2
440915,Approved,Key Account,3,418,755,49,Contract,Other,96.7,a006g000002FCViAAO,4.81,62,2,Purchase Rent to Own,Rental,Row,FALSE,Declined,98.2
484935,Approved,Non Key Account,4,688,424,20,Pension,Hourly,12.4,a006g000002FCVjAAO,8.42,33,1,Purchase,Rent To Own,Apartment High Rise,FALSE,Declined,67.8
1099280,Approved,Key Account,3,573,812,36,Other,Contract,26.3,a006g000002FCVkAAO,7.35,48,3,Purchase Rent to Own,Owner,Row,FALSE,Approved,40.7
1352726,Approved,Non Key Account,4,424,681,15,Other,Salary,52.5,a006g000002FCVlAAO,8.65,22,3,Refinance for Debt Consolidation,Rent To Own,Single,FALSE,Declined,94.9
1473599,Approved,Key Account,4,658,865,28,Other,Hourly,19.4,a006g000002FCVmAAO,8.78,41,1,Refinance,Rental,Semi-detached,FALSE,Approved,26.3
454064,Approved,Key Account,4,797,747,18,Pension,Hourly,27,a006g000002FCVnAAO,4.51,36,1,Purchase Rent to Own,Rent To Own,Single,FALSE,Approved,72.1
878288,Watch List,Key Account,5,451,650,56,Self-employed,Salary,2.5,a006g000002FCVoAAO,7.52,20,2,Refinance for Debt Consolidation,Owner,Apartment Low Rise,FALSE,Declined,8.7
269077,Approved,Non Key Account,3,899,415,5,Hourly,Hourly,91.1,a006g000002FCVpAAO,7.05,23,3,Refinance for Debt Consolidation,Rent To Own,Single,FALSE,Approved,96.9
230025,Approved,Non Key Account,4,587,765,20,Contract,Commissions,66.4,a006g000002FCVqAAO,8.69,6,2,Purchase,Owner,Apartment High Rise,FALSE,Declined,71.1
389090,Approved,Key Account,3,793,791,19,Hourly,Pension,34.7,a006g000002FCVrAAO,5.81,47,1,Refinance,Rent To Own,Apartment Low Rise,FALSE,Declined,58.6
480952,Deactivated,Key Account,4,448,735,9,Hourly,Pension,72.6,a006g000002FCVsAAO,7.72,23,3,Purchase Rent to Own,Rental,Apartment Low Rise,FALSE,Approved,85.4
600931,Approved,Key Account,4,823,590,37,Salary,Hourly,42.1,a006g000002FCVtAAO,8.24,58,2,Equity Takeout,Rental,Row,FALSE,Declined,93.4
451308,Deactivated,Key Account,3,523,837,30,Self-employed,Contract,30,a006g000002FCVuAAO,7.72,41,2,Purchase,Owner,Apartment Low Rise,FALSE,Declined,36.5
831425,Approved,Non Key Account,5,633,476,12,Other,Pension,85,a006g000002FCVvAAO,5.95,54,2,Refinance for Debt Consolidation,Rental,Semi-detached,FALSE,Declined,99.2
1488264,Approved,Non Key Account,4,756,453,12,Other,Pension,24.8,a006g000002FCVwAAO,6.2,47,1,Refinance for Debt Consolidation,Rental,Single,FALSE,Declined,39.6
529510,Watch List,Key Account,4,557,589,13,Other,Pension,59,a006g000002FCVxAAO,8.22,44,1,Purchase,Owner,Apartment Low Rise,FALSE,Approved,80.6
474701,Deactivated,Key Account,4,429,748,51,Contract,Other,63.6,a006g000002FCVyAAO,6.9,23,3,Equity Takeout,Rental,Apartment Low Rise,FALSE,Declined,94.5
1264267,Approved,Key Account,4,842,654,24,Self-employed,Salary,14.5,a006g000002FCVzAAO,5.21,77,3,Equity Takeout,Rental,Single,FALSE,Declined,48.9
276409,Approved,Key Account,3,811,431,19,Self-employed,Contract,42.4,a006g000002FCW0AAO,8.02,57,3,Equity Takeout,Rent To Own,Single,FALSE,Declined,65.1
511365,Approved,Non Key Account,2,867,522,35,Hourly,Commissions,21.8,a006g000002FCW1AAO,8.7,57,2,Equity Takeout,Owner,Apartment Low Rise,FALSE,Declined,46.7
220830,Watch List,Key Account,5,687,564,2,Salary,Other,13.8,a006g000002FCW2AAO,7.4,27,1,Purchase,Rent To Own,Apartment High Rise,FALSE,Declined,77.7
296309,Approved,Non Key Account,2,763,892,22,Other,Pension,76.1,a006g000002FCW3AAO,7.8,50,2,Equity Takeout,Rent To Own,Single,FALSE,Declined,96.1
127154,Approved,Key Account,5,535,473,10,Other,Self-employed,32.8,a006g000002FCW4AAO,8.29,5,1,Refinance,Rent To Own,Single,TRUE,Declined,51.8
1053188,Watch List,Non Key Account,5,438,578,50,Contract,Contract,93.6,a006g000002FCW5AAO,5.9,34,3,Purchase Rent to Own,Rental,Row,FALSE,Declined,94.2
1397337,Approved,Key Account,5,859,690,56,Salary,Contract,77.2,a006g000002FCW6AAO,6.75,25,1,Equity Takeout,Rental,Apartment Low Rise,FALSE,Declined,92.2
1369647,Approved,Key Account,4,624,736,8,Other,Salary,53.7,a006g000002FCW7AAO,5.57,65,1,Purchase,Rent To Own,Row,FALSE,Declined,60.4
481047,Approved,Key Account,3,755,623,4,Salary,Contract,83,a006g000002FCW8AAO,7.85,51,3,Refinance for Debt Consolidation,Rental,Single,FALSE,Declined,97.1
133892,Approved,Non Key Account,2,610,742,15,Salary,Commissions,17.1,a006g000002FCW9AAO,8.2,64,2,Refinance,Owner,Single,FALSE,Declined,46.3
1454726,Approved,Non Key Account,3,470,632,37,Salary,Salary,96.1,a006g000002FCWAAA4,7.76,64,3,Purchase Rent to Own,Rental,Single,FALSE,Declined,99.2
123691,Approved,Non Key Account,2,847,621,21,Commissions,Salary,21.4,a006g000002FCWBAA4,8.84,54,2,Refinance,Owner,Semi-detached,FALSE,Declined,78.3
125042,Approved,Key Account,4,631,670,12,Pension,Self-employed,18,a006g000002FCWCAA4,4,38,1,Refinance for Debt Consolidation,Owner,Apartment Low Rise,TRUE,Declined,77.3
610794,Watch List,Non Key Account,5,524,851,48,Self-employed,Hourly,42.7,a006g000002FCWDAA4,8.33,59,3,Purchase,Rental,Apartment Low Rise,FALSE,Declined,71.9
758957,Approved,Key Account,2,455,734,9,Salary,Other,25.2,a006g000002FCWEAA4,4.25,53,2,Purchase,Owner,Semi-detached,FALSE,Declined,49.4
1161655,Approved,Non Key Account,4,664,729,47,Salary,Salary,94.9,a006g000002FCWFAA4,7.31,16,1,Purchase Rent to Own,Rental,Semi-detached,FALSE,Declined,96.2
144169,Approved,Key Account,5,565,549,32,Salary,Salary,60.4,a006g000002FCWGAA4,7.61,33,2,Refinance for Debt Consolidation,Owner,Apartment High Rise,FALSE,Declined,94
645735,Approved,Key Account,3,621,596,55,Hourly,Pension,33.1,a006g000002FCWHAA4,8.16,60,1,Refinance,Owner,Semi-detached,FALSE,Declined,39.5
342758,Approved,Non Key Account,4,551,633,14,Commissions,Commissions,51.6,a006g000002FCWIAA4,7.26,23,2,Equity Takeout,Rent To Own,Row,FALSE,Declined,59.1
1099448,Approved,Non Key Account,3,711,692,55,Salary,Pension,72.9,a006g000002FCWJAA4,9.72,60,3,Refinance for Debt Consolidation,Rent To Own,Row,FALSE,Approved,97.9
173763,Approved,Non Key Account,2,676,705,4,Salary,Self-employed,88.2,a006g000002FCWKAA4,7.26,64,2,Refinance,Rent To Own,Row,TRUE,Declined,90.1
1104809,Approved,Key Account,4,420,705,26,Hourly,Self-employed,56,a006g000002FCWLAA4,8.55,22,1,Refinance for Debt Consolidation,Owner,Apartment High Rise,TRUE,Declined,73.6
263839,Approved,Key Account,3,524,830,5,Self-employed,Salary,27.8,a006g000002FCWMAA4,8.55,13,1,Equity Takeout,Rent To Own,Apartment Low Rise,FALSE,Approved,75.1
1429079,Approved,Key Account,2,420,711,24,Other,Hourly,62.3,a006g000002FCWNAA4,5.5,78,2,Purchase Rent to Own,Rent To Own,Apartment Low Rise,FALSE,Declined,91.3
264325,Approved,Key Account,2,545,615,8,Commissions,Commissions,67.8,a006g000002FCWOAA4,8.04,34,2,Refinance,Owner,Apartment Low Rise,FALSE,Approved,70.8
421809,Approved,Non Key Account,3,744,644,56,Self-employed,Salary,32,a006g000002FCWPAA4,5.42,18,1,Equity Takeout,Owner,Single,FALSE,Declined,41.7
1233172,Watch List,Key Account,4,779,879,18,Other,Salary,78.9,a006g000002FCWQAA4,5.5,9,3,Equity Takeout,Rent To Own,Apartment Low Rise,FALSE,Declined,83.3
1499491,Approved,Non Key Account,3,628,718,57,Self-employed,Hourly,36.7,a006g000002FCWRAA4,4.55,14,1,Equity Takeout,Owner,Apartment High Rise,FALSE,Declined,95.1
115426,Deactivated,Non Key Account,4,586,803,14,Salary,Contract,94.7,a006g000002FCWSAA4,5.61,52,1,Purchase Rent to Own,Rental,Single,FALSE,Declined,100
370866,Watch List,Non Key Account,3,607,830,11,Self-employed,Other,79.8,a006g000002FCWTAA4,9.07,53,2,Purchase,Rent To Own,Semi-detached,FALSE,Declined,96
1180200,Approved,Key Account,4,469,826,40,Hourly,Self-employed,82.5,a006g000002FCWUAA4,4.67,9,3,Refinance for Debt Consolidation,Owner,Apartment High Rise,TRUE,Approved,96.5
1407422,Approved,Non Key Account,3,465,409,29,Hourly,Salary,80.8,a006g000002FCWVAA4,4.59,41,1,Purchase,Owner,Apartment High Rise,FALSE,Declined,86.2
348162,Watch List,Key Account,3,483,778,19,Pension,Other,8.5,a006g000002FCWWAA4,6.79,40,1,Refinance for Debt Consolidation,Owner,Semi-detached,FALSE,Approved,85.1
1367692,Deactivated,Key Account,2,653,451,14,Salary,Salary,61.9,a006g000002FCWXAA4,9.01,78,3,Purchase Rent to Own,Owner,Row,FALSE,Approved,83.5
194297,Approved,Non Key Account,4,423,674,26,Commissions,Salary,76.5,a006g000002FCWYAA4,6.32,73,2,Refinance,Owner,Row,FALSE,Declined,94.2
399306,Watch List,Non Key Account,3,707,542,31,Commissions,Commissions,32.4,a006g000002FCWZAA4,5.24,51,1,Purchase Rent to Own,Rent To Own,Single,FALSE,Declined,49.6
867492,Approved,Non Key Account,3,809,482,33,Commissions,Self-employed,62,a006g000002FCWaAAO,9.24,20,1,Purchase Rent to Own,Rental,Row,TRUE,Declined,76.2
1111674,Approved,Key Account,3,615,632,49,Contract,Self-employed,14,a006g000002FCWbAAO,9.37,13,1,Equity Takeout,Rent To Own,Semi-detached,TRUE,Declined,96.9
623016,Approved,Non Key Account,2,744,734,37,Commissions,Other,43.7,a006g000002FCWcAAO,7.4,66,1,Purchase,Rental,Apartment High Rise,FALSE,Declined,62.8
312338,Approved,Non Key Account,3,890,544,28,Contract,Hourly,46.5,a006g000002FCWdAAO,6.57,70,3,Purchase Rent to Own,Rent To Own,Single,FALSE,Declined,88.5
1216378,Watch List,Non Key Account,4,504,434,31,Salary,Contract,14.8,a006g000002FCWeAAO,8.9,12,2,Refinance for Debt Consolidation,Owner,Row,FALSE,Approved,39.4
992570,Approved,Non Key Account,3,449,779,0,Contract,Contract,12.9,a006g000002FCWfAAO,8.17,57,1,Refinance,Rent To Own,Row,FALSE,Declined,60.5
817617,Approved,Non Key Account,4,640,895,6,Hourly,Pension,34,a006g000002FCWgAAO,9.4,63,2,Refinance for Debt Consolidation,Rent To Own,Semi-detached,FALSE,Approved,37.1
828751,Approved,Key Account,4,628,601,7,Self-employed,Commissions,71.1,a006g000002FCWhAAO,5.81,78,3,Refinance for Debt Consolidation,Rental,Apartment Low Rise,FALSE,Declined,74.7
743001,Watch List,Non Key Account,5,590,402,60,Self-employed,Commissions,90.7,a006g000002FCWiAAO,9.36,61,3,Purchase Rent to Own,Rental,Row,FALSE,Declined,93.3
115817,Approved,Non Key Account,3,852,603,29,Commissions,Contract,17.2,a006g000002FCWjAAO,7.11,60,2,Purchase Rent to Own,Rental,Row,FALSE,Declined,33.8
295096,Approved,Non Key Account,3,625,430,40,Pension,Self-employed,36.3,a006g000002FCWkAAO,6.26,18,2,Refinance,Rental,Single,TRUE,Declined,70.4
481999,Deactivated,Non Key Account,4,685,515,59,Hourly,Salary,39.3,a006g000002FCWlAAO,9.92,31,2,Refinance for Debt Consolidation,Rental,Row,FALSE,Declined,42.6
390377,Approved,Non Key Account,3,552,543,27,Other,Commissions,85.1,a006g000002FCWmAAO,9.09,26,3,Purchase,Owner,Semi-detached,FALSE,Declined,99.8
1049506,Approved,Key Account,3,549,420,46,Hourly,Contract,0.1,a006g000002FCWnAAO,6.13,15,1,Equity Takeout,Owner,Apartment High Rise,FALSE,Declined,9.1
